mir	ratio	symbol	entrezid	pvalue	cor	fdr	is_target
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TIGD5	84948	2.14177535706739e-07	0.262259191271978	0.0040650896277139	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TIMM10	26519	7.03751085850968e-07	0.251195467435872	0.0131728128249584	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TIMM17B	10245	2.51809154216964e-06	0.238733037942081	0.0463127396435841	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TIMM8A	1678	1.7038293065319e-07	0.264329591431858	0.00324238717033021	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TIMM8B	26521	6.25134350507039e-07	0.252320458603813	0.011720018803306	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TIMP2	7077	2.45631827844672e-08	-0.281194357666712	0.000475616908255639	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TIMP3	7078	3.83491766927767e-08	-0.277415232180788	0.000740139110170591	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TIPARP	25976	3.4610253666266e-08	-0.278290511899119	0.000668427829056595	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TIPIN	54962	1.60481078692598e-06	0.243213823318081	0.0296954188012784	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TJP1	7082	2.93054984747122e-07	-0.259392248920976	0.00554284198150706	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TK1	7083	3.24595142853212e-06	0.236168423670538	0.0594496004135658	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TK2	7084	1.05446374010097e-09	-0.306420955946885	2.08752186627789e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TLN1	7094	4.04240699952138e-13	-0.3607154208427	8.17334271233228e-09	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TLR2	7097	2.06589839737495e-07	-0.26258682226788	0.0039229344667753	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TLR3	7098	7.42414996265452e-11	-0.32595677577879	1.48690875452045e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TLR4	7099	2.03576866277803e-10	-0.318696054221216	4.06278352030612e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TLR7	51284	2.04548842637448e-10	-0.318661304178455	4.08177215483028e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TLR8	51311	6.19085563232794e-10	-0.310457509931062	1.22931820291136e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TM6SF1	53346	3.24618378727936e-12	-0.347337679250563	6.54722808056373e-08	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMED5	50999	8.03608234082892e-08	-0.271010458096459	0.00154067770638372	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM100	55273	3.71477030993068e-07	-0.257201228593307	0.00700754271265323	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM110	375346	9.86999732739633e-07	-0.247953290802288	0.0184045840163959	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM125	128218	4.41987318990402e-08	-0.276198879971087	0.000851886358622101	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM132C	92293	2.067273675469e-07	-0.262580781541812	0.00392533925498054	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM138	51524	2.00927940952056e-09	0.301450104051562	3.96129435586978e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM139	135932	1.3525490356184e-06	-0.244892276091769	0.0251073677481843	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM140	55281	6.14187588819079e-11	-0.327300220355556	1.23052483419902e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM150B	284417	2.00902373911024e-10	-0.31879251234028	4.00981048089012e-06	NA
