mir	ratio	symbol	entrezid	pvalue	cor	fdr	is_target
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C21orf88	114041	1.28281134109981e-09	-0.353181798193309	2.408606574049e-05	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C2CD2L	9854	7.07454323492746e-10	-0.358334762318876	1.33270245459563e-05	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C2orf24	27013	6.23012246242887e-15	-0.444373529782495	1.21375245813039e-10	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C2orf40	84417	1.76415374237909e-11	-0.388402660897777	3.37429686304848e-07	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C2orf55	343990	2.88167729602861e-07	-0.30136811646961	0.00519508782928039	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C2orf58	285154	3.22429445275062e-07	-0.300181832875175	0.00580501973273222	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C2orf71	388939	6.82993333611975e-11	-0.377732095733029	1.30035100786384e-06	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C2orf88	84281	3.81650227846789e-41	-0.69234013824453	7.63262290670793e-37	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C3orf26	84319	2.25313998569732e-08	0.326967512167881	0.000415050916765303	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C3orf66	677779	3.12322250972339e-08	-0.323818576837348	0.000573767207261283	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C4orf19	55286	8.30389507193114e-18	-0.484218514699991	1.63213057638807e-13	YES
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C4orf21	55345	4.16354849708256e-07	0.29746230548857	0.00747606768136144	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C4orf34	201895	4.78780561074205e-13	-0.415094442234228	9.25147678163687e-09	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C4orf46	201725	7.814774201087e-07	0.290642337553748	0.0139126425101952	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C5orf20	140947	7.24407554237881e-11	-0.377259144692566	1.37876489798096e-06	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C5orf30	90355	1.04264709879807e-16	-0.469596891628755	2.04296272538493e-12	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C5orf40	408263	3.95545940479316e-07	-0.298009945433557	0.00710716945853234	NA
