"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"miR-6749-3p"	-1.17485498612575	6.38544362733299	-1.88890341058995	0.0853784993172864	0.726314113285909	-4.77698145045821
"miR-155-5p"	1.55623719644156	5.47714192266207	1.69994858471418	0.11703818858136	0.761449295907618	-4.78465977305005
"miR-602"	1.3655179268648	5.91624236875105	1.8398198153363	0.0927486116075017	0.733332355776647	-4.79007539877705
"miR-4800-5p"	1.53219651294073	3.32028725966713	1.8055072576748	0.0982414152769652	0.734904796024001	-4.79383393973781
"miR-4505"	1.38945371378924	4.70618545026651	1.8129923583697	0.0970185261763838	0.734904796024001	-4.79406362477437
"miR-103a-3p"	1.1948507476019	7.76009619297802	1.85852723624578	0.0898734610798624	0.726314113285909	-4.80292167975184
"miR-3689a-3p"	-1.50748958340003	3.68860411378814	-1.65793450575353	0.12537564398873	0.761449295907618	-4.80913563014889
"miR-501-5p"	1.46534640753213	2.98025515981454	1.63329603199583	0.130506730179189	0.761449295907618	-4.8156469747089
"miR-6729-5p"	-1.17589129852645	8.3776322040301	-1.91890678624783	0.0811426203445586	0.721017476956352	-4.8205463318197
"miR-7114-3p"	-1.2855460797722	4.81483524800698	-1.75921157853322	0.106121034706054	0.749163971198692	-4.82133453231335
"miR-429"	1.21850866053681	5.92211269761428	1.73339159284257	0.11075959591815	0.75225297916447	-4.85643317245655
"miR-15b-5p"	1.02023999513873	9.59729723340483	1.90597466370742	0.0829440321762594	0.723320751184144	-4.86017823554358
"let-7g-5p"	1.00166892937204	8.70792679684218	1.8684978860764	0.0883746404981654	0.726314113285909	-4.90239107043805
"miR-135b-5p"	1.55988002563025	5.51475608405287	1.61644061359641	0.134123032468547	0.761449295907618	-4.93943446927759
"miR-6870-5p"	-1.20000974021019	4.73131122480199	-1.79246986374649	0.100404921055848	0.735063187482933	-4.94245824454593
"miR-6798-5p"	1.12962192020913	5.80561858300592	1.73780649183288	0.109953746389961	0.75225297916447	-4.94925357650997
"miR-1538"	-1.39592452162003	4.04691119074029	-1.55734290082492	0.147507442259395	0.768747126938623	-4.95492547841002
"miR-500b-5p"	1.27052952070145	3.72823802824612	1.53157743478795	0.153698233860766	0.768747126938623	-4.9654764981221
"miR-944"	1.31271510446213	3.21725070068022	1.52005960430071	0.156537709813511	0.768747126938623	-4.96573841075403
"miR-30c-5p"	1.03757318353233	8.44100691776655	1.80003692285058	0.0991439859728838	0.734904796024001	-4.97944395111922
"miR-3176"	1.30101626411775	2.57984413816532	1.49169262966993	0.163724738774227	0.768747126938623	-4.98865987762266
"miR-27b-3p"	1.09818578231956	9.70197586309818	1.80946639721598	0.0975928492144663	0.734904796024001	-4.99717946459394
"miR-204-3p"	1.16175359258705	3.77212119442545	1.64169662407191	0.128736760931445	0.761449295907618	-5.00677662824874
