Probeset WT-miRNA - Sample ID:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
miR-125a-3p	0	1	2	1	0	0	8	1	3	2	0	0	0	0	12	20	8	2	2	2	35	0	12	14
miR-125a-5p	0	113	240	34	40	10	411	5	45	136	165	32	0	1	449	20	548	77	51	90	1246	1	8	6
miR-125b-1-3p	0	1	1	0	1	0	3	4	0	1	1	1	0	0	3	21	4	3	1	0	1	0	5	1
miR-125b-2-3p	0	1	0	0	1	0	2	7	9	1	3	1	0	0	0	38	0	1	0	3	4	0	8	6
miR-125b-5p	0	201	330	137	166	10	1351	23	37	225	339	141	4	1	1148	56	937	110	202	346	1477	2	92	10
miR-1260b	3	925	341	419	488	413	795	455	835	461	531	254	31	41	377	14998	336	265	767	568	37164	36	94907	123
miR-1261	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	5	0	1	1	0	0	0	0	1
miR-1262	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	1	1	1	0	0	0
miR-1263	0	0	0	1	2	0	0	0	1	0	0	0	0	0	2	21	0	0	1	0	5	0	1	0
miR-126-3p	0	11	46	11	18	0	162	4	660	18	29	8	1	0	135	17	47	6	16	43	71	0	2	5
miR-1264	0	1	2	0	0	0	0	2	0	0	1	0	0	0	3	26	1	2	2	0	3	0	0	1
miR-1265	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	29	0	1	0	0	4	0	2	1
miR-126-5p	0	9	18	5	1	0	74	2	59	5	13	1	0	0	40	7	16	3	7	10	12	1	6	6
miR-1267	0	0	4	2	1	0	2	2	0	5	3	1	0	0	5	78	1	1	2	2	4	0	3	0
miR-1268a	2	143	147	219	188	11	263	384	173	271	315	173	1	1	262	15392	187	220	237	680	1224	1	6557	74
miR-1268b	1	147	107	119	119	5	104	247	76	178	207	78	4	6	168	12589	153	111	127	259	418	0	3734	95
miR-1269a	0	0	1	1	3	0	7	3	2	4	1	0	0	0	2	112	1	1	2	2	6	0	5	4
miR-1269b	1	2	11	3	4	0	8	1	4	17	22	6	0	0	15	468	8	9	10	2	36	0	6	11
miR-1270	0	0	1	1	2	0	3	1	0	3	6	0	0	0	7	34	2	3	0	1	9	0	1	1
miR-1271-5p	0	10	23	2	5	1	43	2	0	12	20	7	0	0	40	248	21	12	5	3	97	0	4	2
miR-1272	0	0	0	0	0	0	0	1	0	2	1	0	0	0	2	36	1	0	1	0	3	0	0	0
miR-1273a	0	7	20	17	21	1	33	46	12	27	40	10	0	1	43	2334	14	40	21	17	52	0	95	2
miR-1273c	0	4	20	12	8	1	40	19	8	41	40	9	0	0	34	1592	31	25	17	17	183	0	63	2
miR-1273d	1	273	532	573	400	10	592	778	312	575	698	333	9	9	808	32333	413	517	511	345	1145	2	1557	9
miR-1273e	1	62	128	221	95	14	172	363	83	135	197	68	3	2	219	18790	283	228	162	117	694	1	660	9
miR-1273f	7	752	796	639	356	17	1084	1128	710	753	970	303	9	8	921	43879	504	648	531	531	3763	4	14556	14
miR-1273g-3p	79	18418	20356	13907	9558	415	38198	22813	7907	26955	32830	8185	96	97	30726	363455	16074	16840	11444	7197	39225	31	48313	1652
miR-1273g-5p	0	8	4	6	3	0	19	6	15	10	19	4	0	0	18	985	5	13	7	0	40	0	205	19
miR-1273h-5p	1	237	713	875	606	37	840	695	457	1001	1343	493	12	13	1324	71036	869	1113	706	543	3791	1	1659	34
miR-127-3p	0	0	0	1	1	1	1	7	1	0	1	0	0	0	2	15	1	0	0	3	20	0	0	0
miR-1275	0	126	207	24	4	5	95	199	22	116	159	95	0	1	319	6720	43	51	19	89	526	1	451	44
miR-127-5p	1	0	0	2	1	0	1	3	10	0	0	1	0	0	0	48	0	2	0	3	5	0	12	16
miR-1276	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	9	0	0	1	0	0	0	2	5
miR-1277-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
miR-1278	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
miR-1279	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1
miR-1281	0	3	4	2	5	0	101	38	27	7	1	5	0	0	3	127	1	2	6	4	16	0	101	132
miR-128-1-5p	0	0	3	1	0	0	1	13	3	3	5	1	0	0	5	62	6	1	3	1	26	0	42	44
miR-1282	0	1	0	2	1	0	0	1	2	1	0	0	0	0	0	15	0	0	1	0	0	0	5	3
miR-128-2-5p	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	1	0	1	0	1	2
miR-1283	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	21	0	2	0	0	2	0	0	3
miR-128-3p	0	29	82	9	3	7	296	3	46	67	68	6	1	1	257	74	94	42	12	5	593	0	1	0
miR-1285-5p	1	139	453	278	264	30	561	326	101	633	798	215	3	8	786	24246	554	444	327	247	1365	0	132	9
miR-1286	2	27	26	16	29	0	25	239	92	17	16	25	0	0	11	276	10	12	43	66	10	0	370	794
miR-1287-3p	0	0	2	0	0	0	2	0	3	2	3	0	0	0	3	68	1	4	1	1	6	0	5	3
miR-1287-5p	0	0	0	0	0	0	2	5	3	0	6	0	0	0	1	65	1	1	0	5	9	0	273	23
miR-1288-3p	0	0	0	0	0	0	0	6	4	0	1	0	0	0	0	42	0	0	0	1	1	0	9	6
miR-1288-5p	0	2	7	5	4	0	2	90	89	4	6	14	0	0	3	78	2	4	11	6	2	0	159	194
miR-1289	0	0	2	1	0	0	12	4	0	3	4	1	0	0	12	302	4	5	5	1	11	0	3	7
miR-1290	1	339	1595	52	44	9	3184	832	63	766	2198	41	1	2	5648	200	137	135	95	178	1240	0	5	95
miR-1291	0	21	19	0	0	0	48	0	0	15	29	1	0	0	34	38	3	9	0	0	59	0	3	5
miR-129-1-3p	0	3	2	2	2	0	12	9	13	3	3	7	0	0	11	18	12	2	13	8	0	0	13	21
miR-1292-3p	0	0	0	7	6	1	9	28	17	5	9	11	0	0	6	428	1	3	11	8	21	0	75	149
miR-129-2-3p	0	4	7	28	37	0	12	3	5	7	4	18	0	0	17	14	8	4	55	47	1	0	8	12
miR-1292-5p	0	0	0	0	0	0	0	24	1	0	0	0	0	0	3	29	0	1	1	2	1	0	11	3
miR-1293	0	0	0	1	0	0	1	0	0	2	0	0	0	0	3	20	0	0	1	0	8	0	1	0
miR-1294	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	21	0	0	0	0	5	0	1	0
miR-1295b-3p	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1
miR-1295b-5p	0	1	0	2	4	0	2	43	23	0	2	2	0	0	2	58	2	2	4	4	5	0	47	89
miR-129-5p	0	2	2	9	10	0	13	30	13	10	6	2	0	0	15	85	16	4	12	4	5	0	30	40
miR-1296-3p	0	1	1	0	0	0	1	28	52	0	0	4	0	0	3	15	0	1	2	2	3	0	62	52
miR-1296-5p	0	0	7	1	0	0	8	0	0	2	3	1	0	0	5	28	1	2	0	0	15	0	3	3
miR-1297	0	0	0	0	2	0	0	2	3	0	0	1	0	0	0	1	0	0	0	0	0	0	2	6
miR-1298-3p	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	37	0	0	1	2	6	0	4	10
miR-1298-5p	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	18	0	0	1	0	1	0	1	0
miR-1299	0	11	62	31	37	1	40	18	16	40	48	28	1	0	76	1812	26	34	71	24	78	0	3	2
miR-1301-3p	0	1	0	0	0	0	5	0	1	0	1	0	0	0	4	28	2	0	0	2	6	0	1	1
miR-1301-5p	0	0	0	1	0	0	1	7	1	0	1	0	0	0	0	71	0	1	1	2	9	0	4	4
miR-1302	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	14	1	0	0	0	2	0	0	1
miR-1303	0	2	13	5	7	1	25	9	2	20	29	8	0	0	19	541	11	8	10	9	6	0	27	2
miR-1304-3p	0	0	13	13	2	1	19	11	7	14	20	3	0	0	28	936	10	15	8	7	67	0	23	21
miR-1304-5p	1	1	2	1	0	0	5	3	2	2	2	0	0	0	2	113	1	1	3	1	12	0	7	10
miR-1305	0	0	2	0	1	0	2	0	0	0	1	0	0	0	5	3	2	0	0	1	2	0	1	0
miR-1306-3p	0	0	0	0	2	1	2	2	2	2	4	0	0	0	5	43	3	1	0	3	5	0	1	3
miR-1306-5p	0	7	10	10	3	1	27	34	37	6	7	5	0	0	22	288	23	8	10	4	42	0	71	61
miR-1307-3p	0	3	18	1	1	2	45	15	40	11	15	1	0	0	25	139	14	6	4	0	128	0	34	48
miR-1307-5p	0	5	7	1	3	2	17	80	136	9	6	6	0	0	20	111	9	2	4	3	95	0	411	2019
miR-130a-3p	6	368	1024	25	12	18	3101	11	1139	683	936	20	2	0	2684	28	1812	367	35	34	2167	1	8	5
miR-130a-5p	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	21	0	1	3	1	2	0	0	1
miR-130b-3p	0	42	128	4	1	5	413	33	296	72	128	2	0	1	311	56	176	33	5	4	538	0	0	2
miR-130b-5p	0	5	9	0	3	1	64	16	18	7	6	3	0	0	40	49	19	4	4	1	110	0	23	39
miR-1321	0	0	1	0	0	0	2	3	1	0	0	0	0	0	1	8	1	1	0	1	5	0	9	2
miR-1322	0	5	13	6	1	0	25	7	4	12	26	7	1	0	23	696	15	9	11	2	97	0	5	4
miR-1323	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	15	0	0	0	1	1	0	7	3
miR-132-3p	0	38	87	8	29	1	305	2	5	67	70	17	0	1	302	7	167	38	39	67	311	2	4	5
miR-1324	0	1	0	2	2	0	1	2	9	8	2	2	0	0	1	329	4	4	4	0	11	0	3	2
miR-132-5p	0	2	7	0	4	0	31	3	0	1	4	2	0	0	22	18	20	2	1	1	15	0	3	1
miR-133a-3p	0	0	2	0	0	0	2	6	8	2	1	0	0	0	1	33	0	1	1	0	5	0	10	11
miR-133a-5p	0	1	0	2	2	0	0	8	7	0	0	1	0	0	0	22	0	0	1	1	0	0	13	9
miR-133b	0	0	0	1	0	0	0	1	4	0	3	1	0	0	1	15	1	0	3	0	3	0	5	4
miR-1343-3p	0	1	1	4	2	1	0	19	7	2	5	2	0	0	8	258	3	2	2	6	9	0	44	91
miR-1343-5p	1	13	13	88	138	2	5	2171	3	6	8	52	0	0	13	192	4	4	50	261	7	0	306	24
miR-134-3p	0	0	0	1	0	0	1	4	5	1	0	0	0	0	1	49	0	1	0	0	3	0	12	10
miR-134-5p	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	29	1	0	0	0	5	0	3	3
miR-135a-3p	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	8	1	0	0	2	2	0	0	0
miR-135a-5p	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	8	1	0	3	2	0	0	0	0
miR-135b-3p	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	8	0	0	0	0	12	0	1	2
miR-135b-5p	0	40	88	2	1	11	304	0	0	24	38	1	2	1	172	9	94	10	3	6	1296	0	0	0
miR-136-3p	0	0	0	0	2	0	0	1	3	0	0	0	0	0	0	22	0	1	0	1	7	0	8	11
miR-136-5p	0	0	1	4	6	0	0	1	1	0	0	1	0	0	0	20	0	0	8	9	28	0	2	0
miR-137	0	2	2	1	1	0	7	0	0	0	3	1	0	0	0	4	1	1	0	0	2	0	0	0
miR-138-1-3p	0	0	0	1	0	0	3	3	0	1	2	1	0	0	1	60	0	0	3	2	32	0	2	0
miR-138-2-3p	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	39	0	0	1	0	3	0	0	1
miR-138-5p	0	12	52	9	7	4	122	2	0	31	48	25	2	1	119	74	44	14	36	21	619	0	5	8
miR-139-3p	0	2	1	2	0	0	1	0	1	1	1	0	0	0	1	43	0	2	3	0	4	0	5	1
miR-139-5p	0	6	10	2	1	0	39	23	31	8	5	0	0	0	37	26	20	6	3	2	9	0	43	64
miR-140-5p	0	7	15	2	1	1	48	1	20	13	18	0	0	0	55	9	19	5	1	5	140	0	3	0
miR-141-3p	0	317	2337	13	32	272	8079	13	11	978	1591	25	27	16	7416	19	622	621	40	72	31189	28	28	29
miR-141-5p	0	3	20	0	1	4	69	1	4	11	10	2	1	0	53	16	27	5	0	1	199	0	0	4
miR-142-5p	1	0	0	1	0	0	0	7	170	0	0	0	0	0	2	7	2	0	3	1	0	0	4	3
miR-143-3p	0	1	2	10	35	0	1	6	17	1	0	15	0	0	1	12	5	1	23	45	8	0	8	1
miR-143-5p	0	0	0	2	2	0	1	8	12	1	0	3	0	0	1	66	0	1	3	1	4	0	26	46
miR-144-3p	2	0	1	1	1	0	0	2	7	1	2	1	0	0	0	1	0	0	0	3	1	0	4	3
miR-144-5p	1	0	0	0	1	0	0	3	3	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1
miR-145-3p	0	2	1	0	1	0	0	13	22	2	0	2	0	0	1	20	0	0	2	3	0	0	25	30
