"N2_3_Day0"	"N2_3_Day5"	"mir71_3_Day0"	"mir71_3_Day5"	"N2_1_Day0"	"N2_1_Day5"	"mir71_1_Day0"	"mir71_1_Day5"	"N2_2_Day0"	"N2_2_Day5"	"mir71_2_Day0"	"mir71_2_Day5"
"cel-miR-1022-5p.iso.0.d-T.0.0"	89.3661784876096	45.8245051025943	110.608149298269	113.627831485382	100.462217290061	52.6838379837377	127.524497406588	247.946322565141	132.742327767359	44.4396583702005	116.901776477024	98.1669236303696
"cel-miR-1022-5p.iso.0.d-T.0.1CA"	15.9582461585017	6.05229312675773	11.5875204026758	8.94707334530569	6.20137143765807	9.80164427604423	22.6107264905298	27.1384034648413	14.5012626972745	6.18780053255957	9.7418147064187	9.86863253426996
"cel-miR-1022-5p.iso.0.u-C.0.0"	6.38329846340069	2.5938399114676	17.9079860768627	10.7364880143668	23.5652114631007	11.0268498105498	21.7062974309086	25.9048396709849	10.0393357134978	6.75032785370135	16.7002537824321	8.31042739727997
"cel-miR-1022-5p.iso.0.u-C.u-T.0"	6.38329846340069	3.45845321529013	0	7.15765867624455	13.6430171628478	2.45041106901106	8.13986153659072	33.3062224341235	6.69289047566517	2.25010928456712	9.7418147064187	4.15521369863998
"cel-miR-1022-5p.ref.0.0.0.0"	165.965760048418	55.3352514446421	173.812806040138	173.57322289893	150.073188791325	74.7375376048373	247.813562336206	303.45669328868	184.054488080792	46.1272403336259	137.777093705065	145.432479452399
"cel-miR-124-3p.ref.0.0.0.0"	7.97912307925086	8.64613303822533	8.42728756558243	18.788854025142	6.20137143765807	2.45041106901106	18.0885811924238	20.9705844955592	3.34644523783259	5.06274589027601	1.39168781520267	16.1014530822299
"cel-miR-1-3p.iso.0.0.0.10CA"	1733.06553281329	1135.23726791899	5176.46138715901	2300.29255707809	3248.2783590453	858.869079688376	9748.84083365682	5819.95397941461	2758.58635772	834.228017253258	1046.54923703241	1288.63564829073
"cel-miR-1-3p.iso.0.0.0.15TG"	920.790803345549	0	0	0	0	0	4232.72799902717	0	0	0	0	0
"cel-miR-1-3p.iso.0.0.0.1AT"	1035.69017568676	677.856830196866	2569.26929655694	1344.74512379945	1301.04772762066	528.063585371883	4998.77941252632	3527.99245042937	1675.45358240818	472.522949759094	636.001331547621	751.574277741507
"cel-miR-1-3p.iso.0.0.0.1CT"	1188.88933880838	726.275175210928	3008.54166091293	1558.58017675225	1531.73874510154	572.170984614082	5522.44383804699	3716.72771088941	1888.51059588352	522.587881340713	691.668844155728	859.090432193817
