"V1" "exp-pA<15" "polyA-pA<15" "UU-pA<15" "U-pA<15" "U>3-pA<15" "polyA-NoU-pA<15" "exp-pA<25" "polyA-pA<25" "UU-pA<25" "U-pA<25" "U>3-pA<25" "polyA-NoU-pA<25" "exp" "polyA-pA>25" "UU-pA>25" "U-pA>25" "polyA-NoU-pA>25" "symbol"
"ENSG00000124693" 2962 31 0 0 0 0 2962 7 0 0 0 0 2962 28 0 0 0 "HIST1H3A"
"ENSG00000124767" 380 8 0 2 0 0 380 6 2 0 0 0 380 23 2 0 0 "GLO1"
"ENSG00000124795" 766 19 0 2 0 0 766 5 0 0 0 0 766 24 0 0 0 "DEK"
"ENSG00000125304" 523 10 0 0 0 0 523 4 0 0 0 0 523 23 0 0 0 "TM9SF2"
"ENSG00000125691" 1406 38 2 4 0 0 1406 28 0 0 0 0 1406 288 5 0 0 "SNORA21"
"ENSG00000125743" 259 19 0 0 0 0 259 12 0 0 0 0 259 50 2 0 0 "SNRPD2"
"ENSG00000125868" 586 13 0 0 0 0 586 7 0 0 0 0 586 50 2 0 0 "DSTN"
"ENSG00000125944" 508 7 0 2 0 0 508 6 0 0 0 0 508 25 0 0 0 "HNRNPR"
"ENSG00000126777" 873 23 0 0 0 0 873 11 0 3 2 0 873 32 0 2 0 "KTN1"
"ENSG00000127022" 1951 31 0 2 0 2 1951 7 0 0 0 0 1951 21 0 0 0 "CANX"
"ENSG00000127184" 485 6 0 0 0 0 485 20 0 0 0 2 485 126 4 0 0 "COX7C"
"ENSG00000127540" 59 0 0 0 0 0 59 0 0 0 0 0 59 36 0 0 0 "UQCR11"
"ENSG00000127920" 256 4 0 0 0 0 256 3 0 0 0 0 256 30 2 0 0 "GNG11"
"ENSG00000128050" 528 14 0 6 0 0 528 3 0 0 0 0 528 34 0 0 0 "PAICS"
"ENSG00000128463" 281 4 0 0 0 0 281 5 0 0 2 0 281 83 3 0 2 "EMC4"
"ENSG00000128595" 638 11 0 0 0 0 638 5 0 0 0 0 638 18 0 0 0 "CALU"
"ENSG00000128951" 450 11 0 0 0 0 450 5 2 0 0 0 450 43 0 0 0 "DUT"
"ENSG00000129128" 556 8 0 0 0 0 556 7 0 0 0 0 556 21 0 0 2 "SPCS3"
"ENSG00000129235" 193 0 0 0 0 0 193 7 0 0 0 0 193 30 0 0 0 "TXNDC17"
"ENSG00000129562" 270 10 0 0 0 0 270 8 2 0 0 0 270 39 2 0 0 "DAD1"
"ENSG00000130032" 114 0 0 0 0 0 114 0 0 0 0 0 114 75 0 0 0 "PRRG3"
"ENSG00000130255" 372 9 0 2 0 0 372 10 0 0 0 0 372 93 2 0 0 "RPL36"
"ENSG00000130741" 645 6 0 0 0 0 645 2 0 0 0 0 645 25 0 0 0 "EIF2S3"
"ENSG00000130770" 172 2 0 0 0 0 172 2 0 0 0 0 172 30 0 0 0 "ATPIF1"
"ENSG00000131051" 628 16 0 0 0 2 628 9 0 0 0 0 628 14 0 0 0 "RBM39"
"ENSG00000131143" 207 5 0 0 0 0 207 6 0 0 0 0 207 36 0 0 0 "COX4I1"
"ENSG00000131174" 383 6 0 0 0 0 383 11 0 0 0 0 383 44 0 0 0 "COX7B"
"ENSG00000131236" 308 9 0 0 0 0 308 5 0 0 0 0 308 20 0 0 0 "CAP1"
"ENSG00000131469" 620 18 0 0 0 0 620 2 0 0 0 0 620 41 0 0 2 "RPL27"
"ENSG00000131473" 714 20 5 0 2 0 714 12 0 3 2 0 714 22 0 0 0 "ACLY"
"ENSG00000131747" 1190 34 2 4 2 2 1190 9 0 2 0 0 1190 13 0 0 0 "TOP2A"
"ENSG00000132341" 908 17 0 3 0 0 908 27 3 3 0 0 908 55 0 0 0 "RAN"
"ENSG00000132356" 818 15 0 0 0 0 818 5 0 0 0 0 818 16 0 0 0 "PRKAA1"
"ENSG00000132475" 360 10 3 0 0 0 360 5 0 0 0 0 360 19 0 0 0 "H3F3B"
"ENSG00000132640" 1278 26 0 4 0 0 1278 8 0 0 0 0 1278 20 0 0 0 "BTBD3"
"ENSG00000132646" 481 13 0 2 2 0 481 7 0 0 0 0 481 18 0 0 0 "PCNA"
"ENSG00000132963" 253 4 0 0 0 0 253 5 0 0 0 0 253 25 0 0 0 "POMP"
"ENSG00000133112" 730 26 2 2 2 0 730 13 2 0 0 0 730 97 6 0 0 "TPT1"
"ENSG00000133302" 781 26 3 2 0 0 781 5 0 0 0 0 781 16 0 0 0 "ANKRD32"
"ENSG00000133706" 434 9 0 2 0 0 434 5 0 0 0 0 434 27 0 0 0 "LARS"
"ENSG00000133872" 300 8 0 0 0 0 300 4 0 0 0 0 300 33 0 0 0 "SARAF"
"ENSG00000134046" 256 8 0 0 0 0 256 14 5 0 2 0 256 15 0 0 0 "MBD2"
"ENSG00000134057" 721 27 2 3 3 0 721 17 2 0 0 0 721 40 0 0 0 "CCNB1"
"ENSG00000134294" 2310 68 9 14 3 0 2310 20 3 3 0 0 2310 43 0 0 0 "SLC38A2"
"ENSG00000134333" 1405 17 0 0 0 0 1405 9 0 0 0 0 1405 64 3 3 0 "LDHA"
"ENSG00000134352" 907 9 0 0 0 0 907 8 0 0 0 0 907 15 2 0 0 "IL6ST"
"ENSG00000134419" 178 4 0 0 0 0 178 0 0 0 0 0 178 37 3 0 0 "RPS15A"
"ENSG00000135046" 706 11 2 2 0 2 706 6 0 0 0 0 706 39 2 0 0 "ANXA1"
"ENSG00000135316" 545 9 0 0 0 0 545 5 2 0 0 0 545 17 0 2 0 "SYNCRIP"
"ENSG00000135480" 429 9 0 0 0 0 429 8 0 0 0 0 429 27 0 0 0 "KRT7"
"ENSG00000135486" 193 4 0 0 0 0 193 0 0 0 0 0 193 29 0 0 0 "HNRNPA1"
"ENSG00000136026" 127 4 0 0 0 0 127 0 0 0 0 0 127 27 0 0 0 "CKAP4"
"ENSG00000136450" 700 8 0 0 0 0 700 4 0 0 0 0 700 20 0 0 0 "SRSF1"
"ENSG00000136521" 309 6 0 0 0 0 309 11 4 0 0 0 309 25 0 0 0 "NDUFB5"
"ENSG00000136527" 404 17 0 0 0 0 404 3 0 0 0 0 404 25 0 0 0 "TRA2B"
"ENSG00000136628" 676 19 0 4 0 0 676 8 0 0 0 0 676 25 0 0 0 "EPRS"
"ENSG00000136758" 378 12 0 0 0 0 378 4 0 0 0 0 378 19 2 0 0 "YME1L1"
"ENSG00000136810" 1018 20 0 0 0 0 1018 13 2 0 0 0 1018 91 0 0 0 "TXN"
"ENSG00000136888" 197 11 0 0 0 0 197 3 0 0 0 0 197 23 0 0 2 "ATP6V1G1"
"ENSG00000136930" 218 3 0 0 0 0 218 2 0 0 0 0 218 35 0 0 0 "PSMB7"
"ENSG00000136942" 597 13 0 0 0 0 597 8 0 0 0 0 597 181 4 0 3 "RPL35"
"ENSG00000136997" 722 21 0 0 0 0 722 9 2 0 0 0 722 25 0 0 0 "MYC"
"ENSG00000137154" 3827 112 3 0 0 12 3827 44 5 0 0 0 3827 515 14 2 4 "RPS6"
"ENSG00000137804" 490 8 0 2 0 0 490 0 0 0 0 0 490 26 0 0 0 "NUSAP1"
"ENSG00000137818" 769 19 0 0 0 0 769 6 0 0 0 0 769 253 2 0 0 "RPLP1"
"ENSG00000137876" 291 10 0 5 0 0 291 2 0 0 0 0 291 19 0 0 0 "RSL24D1"
"ENSG00000138119" 298 10 0 0 0 2 298 5 0 0 0 0 298 15 0 0 0 "MYOF"
"ENSG00000138293" 438 11 0 0 0 0 438 4 0 0 0 0 438 23 0 0 0 "NCOA4"
"ENSG00000138326" 978 16 3 0 0 0 978 10 2 0 0 0 978 270 4 0 5 "RPS24"
"ENSG00000138434" 1025 15 0 0 0 0 1025 4 0 0 0 0 1025 15 0 0 0 "SSFA2"
"ENSG00000138448" 1672 23 2 2 0 0 1672 8 0 2 0 0 1672 18 0 0 0 "ITGAV"
"ENSG00000138777" 257 5 0 0 0 0 257 3 0 0 0 0 257 23 0 0 2 "PPA2"
"ENSG00000139644" 781 7 0 0 0 0 781 7 0 0 0 0 781 52 0 0 0 "TMBIM6"
"ENSG00000139684" 222 3 0 0 0 0 222 0 0 0 0 0 222 49 0 0 0 "ESD"
"ENSG00000140307" 275 11 0 3 0 0 275 5 0 2 0 0 275 27 0 0 0 "GTF2A2"
