PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
1627005_at_Reg-5	0.0235098569109081	-0.0204599050839309	-0.0036334594345535	0.0126848476991505	-0.00509127289914409	0.0167779133865718	0.00661481585766819	0.00451947958280279
1625457_at_CG10031	0.0582425330762654	0.00419283172984219	0.0103436441518386	-0.0221391725953115	0.00438393548727176	0.00563322832815015	0.00826915096108842	-0.00593978036839679
1628474_at_CG16712	0.0981853832767134	0.0224028052938866	-0.00533140809154181	-0.0115385070101513	0.000898541057110924	0.00827169987276785	-0.00343556662782853	-0.00812148803931682
1627979_at_Wnt6	0.0485733606587052	-0.00115250177792576	0.00285474337352344	-0.0223671137473837	0.0351271836588466	-0.00657928690898635	-0.00770579765756516	-0.00718971307586373
1631112_at_Epac	-0.033530355026663	-0.00162480809594368	0.00970401865118664	-0.00933777278021394	-0.0310606965737759	-0.0111410111846785	-0.0022145415688486	-0.0140384532385778
1635576_at_Nplp2	0.0682461579136526	-0.0583526019313586	0.0155858026614575	0.0355548955076949	0.0143312271210835	-0.0282904596544312	0.0190028016570238	0.00665732845493494
1629070_at_CG1208	0.0696338160932024	-0.105751162145659	0.0435939690437983	0.0441265571438549	0.0173384481693331	-0.0440219195108168	0.020747523119253	-0.00644174176536252
1635936_at_CG13822	0.032371736006695	-0.0375835685434447	-0.020577949295563	0.00415809372235697	0.0117459618090245	0.0173989503929607	-0.00673595735012011	2.27946455202478e-05
1626242_at_CG14795	0.0339046334781717	-0.0696085873415466	0.0143796654259941	0.0447122682208847	-0.000912330009629735	0.0201514069344827	0.0328486987116353	-0.0135703771862921
1640654_at_He	0.0418479206128564	-0.0840072810851259	0.0234550848965801	0.0404936025062655	0.028438053279771	-0.0264074821323907	0.0302380103639261	0.00390557079520536
1631419_at_Yp3	0.0386784987129641	0.0165206834579583	-0.00378809173519305	-0.00368951966704071	-0.00567041653970262	0.00043551448064277	0.00645860760987401	-0.000429976815715291
1639476_at_Vago	0.0595796541866316	0.0240956688662675	-0.00150602173086938	-0.0179086542453539	0.00369000241431096	0.00187457425156798	0.0220808929843618	0.00515253350616096
1628226_at_CG8539	0.0266337371283906	-0.0590391845443376	-0.0314788175507469	0.0213950430390001	0.0205391859431382	0.0216734954382717	0.00354571652304962	-0.00939700170104673
1633051_at_CG13741	-0.0259223576728452	0.0235265371310333	-0.000296119342697861	-0.0269854445095205	-0.0263022143200703	-0.0114927122338523	-0.0010274547506712	-0.00275626970859018
1641333_s_at_prominin-like	-0.0109080555785031	0.0119576673197276	-0.00352478485841363	5.04190122897706e-05	0.00151974723823093	0.000621508180114915	-0.00227777836537716	0.00962059378739051
1629368_at_slou	0.0537153387949658	-0.0841273627384122	-0.0312678485430674	0.0606412780687771	-0.0710510110634009	-0.0338048013349119	0.0104505603691436	-0.00657006300423317
1628465_a_at_CG34417	0.0141288638806179	-0.0117748966337309	-0.00537968846469875	0.012813408334366	0.0122673298348025	0.00395013766228332	-0.014205532113761	-0.00985169751043223
1631300_at_Cyp18a1	0.0334966661703708	-0.0128195956034633	-0.00639263707375004	0.00605502220844394	-0.00627263821778118	-0.0069679651043585	-0.000458135851608032	-0.000852075851440875
1632032_at_CG13188	0.00983471824958679	-0.00911309746775719	-0.00221764342893445	0.00292800277065188	0.00228821755975134	-0.000631780073488689	0.0150471922129548	-0.00688936650142039
1634255_at_CG12721	-0.0436864218860659	0.0275200229151173	-0.00466921533955187	-0.0110830010739365	-0.00966646292743177	-0.000208824936421914	0.00634077715357011	0.00557333933430414
1635110_at_Cyp6a13	0.0112460760843056	-0.0228903518386397	0.0010171252926616	0.00670125005611186	0.0107256516779485	0.0174473326023059	0.0074071783640822	0.00475707220678235
1636888_a_at_Aph-4	0.0483136787734918	0.00310927760998126	-0.00781666329566191	0.00406650418761262	-0.00806333826779177	0.0171519352010358	0.0253573593981279	-0.00904060804791479
1636374_at_CAH1	0.0487272576237971	0.0013229012397307	0.0251759861800122	0.00908763726445438	-0.0178288392942138	-0.00913676943029973	-0.0165370268634945	0.00852576601604145
1625885_at_betaTub97EF	0.0269339898436243	0.00259360647108663	0.00180945271619927	-0.00932657915701695	0.0156205228496197	-0.00973396515715399	-0.00897555818094753	-0.00657077857306588
1626194_at_melt	0.0290780734402343	-0.0130537389502204	0.00252621964577201	0.0162654445720004	0.000726177403032999	0.0214878156827699	0.000178361599482526	0.0014001591961984
1640978_at_CG14567	-0.0348157659153087	0.00322647858406459	0.0451446653817805	-0.00473573747894161	-0.0229288632032266	0.00542692686962556	-0.0117917894518205	0.00966746314631918
1629106_at_CG2233	0.0700196701546938	-0.00693922663978934	0.0147937704870579	0.0178729733243029	-7.29681819662066e-05	-0.00488280033185914	0.0250391703478306	0.00408010760638664
1623036_a_at_CG10249	0.0255009096006146	-0.0261501572198151	-0.0136619775157442	0.0215266800954032	0.000775506305697177	0.00429874754921662	-0.00172902645228405	-0.00861831382317803
1632377_at_CG8399	0.010604967194445	-0.0238078662162577	0.00222509221435103	-0.00752890205966109	-0.00240282697531042	0.00518787323670104	0.011629718984768	-0.00014663192200097
1633935_at_metro	0.0558781637156886	-0.00797129968309848	-0.00673110323890549	0.0019132061946253	-0.0186479042947806	-0.0231636252382095	0.00955450707824314	-0.00815439351209823
1629874_at_Kif3C	0.0547577820857964	-0.00912106779975233	0.0321949334682869	-0.023199362256084	0.0101244171891575	0.00445739136888298	0.00343302480333264	-0.00660224667578174
1623103_at_CG14946	-0.0782331203958576	-0.0133062036545276	0.0137515070293895	0.0230215357989758	0.0214977473455063	0.00158486271626517	0.0137768695921641	0.0085487780252187
1637280_at_LpR1	0.012636971124748	-0.0837785337196297	0.00975322660946898	0.0152326335417488	0.0151199612278852	0.00265830491757601	0.0213457846942465	-0.00329151001027268
1637826_at_CG10623	0.0239576996130914	-0.00480855306560937	0.000132464488907032	-0.0133082288578761	-0.000402151570273565	-0.00134466111635973	0.00235303438929284	-0.00208267360875764
1632711_at_Pex10	-0.00894136525384329	0.00871245321859812	-0.00218193134250304	-0.000382483070397789	-0.000548531952999676	0.00914959487583554	-0.0112119828443247	0.0168259410197636
1631608_at_wake	0.0185064200857504	-0.0121678775314924	-0.00445285827148437	0.00784263494759581	-0.00052241530792138	-0.0125436859869314	0.0064997493562936	-0.00230023135268991
1639223_a_at_sr	0.0313455340240024	-0.0339509565452414	-0.0180171439466861	0.00919511703983514	0.0114263715167602	-0.00159322331505249	0.0384705573120329	-0.00260148523589028
1634597_a_at_CG33970	0.0446132612439261	-0.0495496532126672	0.0126638074126514	-0.0244098943711185	-4.95032939341999e-05	-0.0121212002610243	-0.0123633637194255	0.00490007826051037
