"logFC"	"AveExpr"
"miR-340-5p"	1.13625106674669	2.86203170381785
"miR-15b-3p"	-1.27461359926224	4.02578227868014
"miR-877-3p"	0.930383843229811	4.08785295326121
"miR-3175"	-0.883823593064153	2.97088861816918
"miR-664b-5p"	1.06688236695672	4.18551653721212
"miR-421"	0.943666052721104	3.82023500337994
"let-7d-3p"	-0.841957332640352	4.96458720184257
"miR-4525"	-0.889104632014563	4.66632484459738
"miR-500b-5p"	0.866329577867368	3.72823802824612
"miR-6760-5p"	-1.14527135469852	3.77915627213415
"miR-6798-5p"	0.746382932661404	5.80561858300592
"miR-1292-3p"	1.24868939462921	3.83191444784996
"miR-370-3p"	-0.895476727632155	3.59860244826871
"miR-199a-3p"	-0.978383074479215	3.78170427941621
"miR-6792-3p"	-0.829827020679877	4.13153262579292
"miR-6880-5p"	-0.726598618887204	5.23861127431166
"miR-378b"	1.0607594950536	3.35832549270588
"miR-4736"	0.923341797311456	2.78514889177837
"miR-4728-3p"	0.758040095395617	5.48073264748766
"miR-548ay-5p"	0.812590685302292	5.18249276173716
"miR-6782-5p"	0.804636205220396	5.39126741551453
"miR-6860"	0.778181050506399	3.91405493483253
"miR-6075"	-1.3204243236043	2.3204300451128
"miR-503-5p"	0.883241323440677	3.83586978017264
"miR-6859-5p"	0.732059270198712	4.43279322388369
"miR-6890-3p"	-0.838674674470388	4.00666836057817
"miR-505-3p"	0.912625495033381	3.70927329241363
"miR-6893-5p"	-0.779437671508868	3.31890453385341
"miR-7855-5p"	-0.739619557736292	5.42807060217998
"miR-200b-5p"	0.815770758711195	3.32432495944629
"miR-212-3p"	-0.797655547131941	4.45054786611302
"miR-8071"	0.883389269736672	3.99475278763315
"miR-130b-5p"	-0.858557751269011	4.10202268106046
"miR-6753-5p"	0.9641665366801	3.9208114449672
"miR-940"	0.986564660775522	3.99093615263129
"miR-1322"	0.727231998104336	4.73221646250311
"miR-3154"	-0.948218774863381	3.04297680137287
"miR-877-5p"	-0.919836067055127	4.08005784588561
"miR-6784-5p"	0.729773785938421	4.00456071532624
"miR-1469"	0.652200031094231	5.19270415981289
"miR-132-5p"	0.731400861438024	3.47209848629335
"miR-375"	0.783078199584931	6.09088908479335
"miR-4486"	0.741942708763615	4.7559306975344
"miR-93-3p"	-0.710242655414685	4.17401217525761
"miR-451a"	-0.681862873109363	4.31357064060779
"miR-6127"	-0.715599850636282	4.68013133200352
"miR-129-5p"	-0.71096656577751	4.35892124267719
"miR-195-5p"	-0.682683180532107	4.53075178556848
"miR-10a-5p"	-0.852010521061919	4.65090719546983
"miR-192-5p"	-0.765184147102403	4.92433326592576
"miR-132-3p"	-0.626653512809238	7.37426663022741
"miR-1910-5p"	0.689426285419229	3.84141706753211
"miR-6068"	0.636908365261725	5.20541591573839
"miR-652-3p"	0.77164552012179	5.05439920896586
"miR-6824-5p"	0.686640194376998	3.67668919855618
"miR-4479"	-0.631130619127012	3.95998903307835
"miR-6729-3p"	0.605332241314305	2.25589914924011
"miR-2861"	0.561399674994005	10.4891169098687
"miR-99b-3p"	0.632560140305714	3.749384707455
"miR-1291"	0.640133955113887	3.55532802786998
"miR-3176"	0.560850112458781	2.57984413816532
"miR-3607-3p"	-0.739294118815111	3.05460403317603
"miR-6829-3p"	-0.595454274715023	3.81271234472373
"miR-5684"	0.610480041277884	3.96807685033266
"miR-6516-5p"	0.689492963988221	4.36285691150703
"miR-3609"	0.625446153009698	4.16765941671523
"miR-1224-5p"	0.659155172375189	3.64208222818731
"miR-5703"	0.597374312460938	3.32084309910558
"miR-1307-5p"	-0.591438753189377	4.01458317017901
"miR-1914-5p"	0.600676964107588	5.37220848000096
"miR-331-5p"	-0.599100743373572	3.10196871820254
"miR-532-5p"	-0.618653127529446	4.52909548253173
"miR-9-3p"	-0.487830529833073	3.94518642723472
"miR-663b"	0.598268273345025	6.47845156263012
"miR-4722-3p"	0.574875808493128	4.03711721973497
"miR-4640-3p"	-0.64612582979383	3.80122924952698
"miR-3654"	-0.513948827512288	3.66356325035087
"miR-564"	0.560953676178804	4.22447345096881
"miR-664a-5p"	0.584804780507387	3.34658589067699
"miR-1914-3p"	0.833319325616093	5.2557230695084
"miR-6819-3p"	-0.52630813183163	3.93667036109521
"miR-1249"	0.467681311139558	3.97088904355547
"miR-6785-3p"	0.606854093131907	3.83138192979874
"miR-625-5p"	0.493358917344418	3.73691301937508
"miR-6836-3p"	0.65473870699893	5.71826910625646
"miR-33b-5p"	-0.734892172232574	5.10106232850809
"miR-378e"	0.606577413311568	4.28517593572831
"miR-221-5p"	-0.546244615627962	4.85637752882011
"miR-328-3p"	-0.474776056812809	3.73220931493213
"miR-1273g-5p"	0.577042518464934	4.19453684218883
"miR-194-5p"	-0.578033286189316	4.19547528402594
"miR-345-5p"	-0.53897637956349	4.89731642056986
"miR-24-2-5p"	0.501400762564177	4.51587517674911
"miR-941"	-0.414022295381353	3.75477552586041
"miR-6884-3p"	-0.48517035886673	3.75320087266441
"miR-23c"	-0.325876310700006	4.14016991663314
"miR-362-5p"	-0.306082018293296	3.11600951207345
"miR-28-5p"	0.554455598133458	4.9500603174326
