"prot id","symbol","gene id","JCKP5vsWTP5","JCKP10vsWTP10","JCKP15vsWTP15","JCKP20vsWTP20","JCKP26vsWTP26_1","JCKP26vsWTP26_2","JCKP35vsWTP35","JCKP44vsWTP44","JCKP50vsWTP50","JCKP64vsWTP64","Early Spectra","Late Spectra","cluster","Detect FA","fa","early FA","late FA","flipped"
Q9Z1K6,Arih2,ENSMUSG00000064145,0.30616070,0.27487165,0.02012787,0.17040218,-0.12793242,-0.06456089,0.13132519,-0.06698510,-0.01646171,-0.16445730,2,7,m,1,0,0,0,1
Q501J7,Phactr4,ENSMUSG00000066043,0.36029607,0.20835121,-0.06237310,-0.19336917,-0.10803876,0.00805027,0.17751128,0.13143616,0.00967009,-0.26278044,4,8,m,1,0,0,0,1
O88833,Cyp4a10,ENSMUSG00000066072,0.07292990,-0.10865846,0.10179398,-0.02673546,-0.20707892,0.29519414,-0.20035245,-0.97832714,-0.28458981,-0.91121273,6,34,m,1,1,1,1,1
Q9D110,Mthfs,ENSMUSG00000066442,0.54761797,0.27327746,0.13368357,0.02744149,-0.28685228,-0.04037663,-0.23406230,-0.34247397,-0.23693122,-0.45232837,4,10,m,0,0,0,0,1
Q9QZH6,Ecsit,ENSMUSG00000066839,0.01765080,0.06094359,-0.04509139,-0.08147285,-0.21685103,0.04168246,-0.15035966,-0.16699005,-0.24997343,-0.35202501,9,18,m,1,1,0,1,1
Q91W52,Tmem19,ENSMUSG00000069520,0.22269768,-0.23095074,-0.08844673,-0.13246269,-0.34445859,-0.01395839,-0.13034250,-0.08040273,-0.11493332,-0.33238913,3,4,m,1,0,0,0,1
Q5SUC9,Sco1,ENSMUSG00000069844,0.19057313,0.42143580,0.08360804,-0.34288455,-0.57126135,-0.17562763,-0.22576977,-0.15547625,-0.16221033,-0.30757693,4,6,m,1,1,1,1,1
P06281,Ren1,ENSMUSG00000070645,-0.17831274,-0.27558632,0.11285718,0.04171246,-0.70058984,-0.70898745,-0.29609854,-0.86090468,-1.24683155,-1.32225931,20,22,m,1,1,1,1,1
Q6ZPT1,Klhl9,ENSMUSG00000070923,0.15967418,-0.02254962,-0.44839914,0.09784376,-0.48068751,0.03493911,-0.03878242,0.03535015,-0.23539898,-0.12193738,2,2,m,1,0,0,0,1
A2AKK5,Acnat1,ENSMUSG00000070985,-0.11669433,-0.11450977,0.13112202,-0.35589524,-0.47733934,-0.27376380,-0.53535867,-0.43403845,-0.26658298,-0.61483088,10,35,m,1,1,0,1,1
G3X9Y6,Akr1c19,ENSMUSG00000071551,0.21252519,-0.30831235,-0.02714981,-0.04423959,-0.27407079,-0.22326424,-0.30451028,-0.37297460,-0.43010786,-0.58174922,13,26,m,1,1,1,1,1
Q8K2T4,Uqcc3,ENSMUSG00000071654,0.25839548,0.12817576,-0.16972357,-0.10285490,-0.38521709,0.25180924,-0.35635234,-0.05611405,-0.05609072,-0.34308116,1,3,m,1,1,0,1,1
Q3UP75,Ugt3a1,ENSMUSG00000072664,0.04983184,-0.00402530,0.02699475,-0.15915749,-0.28414934,-0.06795408,-0.45418001,-0.38980016,-0.27512775,-0.31878201,12,35,m,1,1,1,1,1
O55137,Acot1,ENSMUSG00000072949,0.39584554,0.12766069,-0.06575372,-0.46629412,-0.52822725,-0.07019328,-0.25695854,-0.28721285,-0.18216446,-0.52160579,34,60,m,1,0,0,0,1
Q9WV85,Nme3,ENSMUSG00000073435,0.22691176,-0.11397703,-0.11089685,-0.06504077,-0.22366545,-0.14503623,-0.22854785,-0.35185362,-0.39550039,-0.41462755,14,14,m,1,1,1,1,1
Q64433,Hspe1,ENSMUSG00000073676,-0.10181212,0.10587076,-0.20116811,-0.21472486,-0.38844914,-0.21719356,-0.22633945,-0.24448340,-0.43290235,-0.53960643,17,52,m,1,1,1,1,1
Q99J39,Mlycd,ENSMUSG00000074064,0.12490238,-0.12539397,-0.14999400,-0.11408708,-0.09918102,-0.09494594,-0.17965196,-0.44630653,-0.31400420,-0.51646399,9,26,m,1,1,1,1,1
