"N2-1"	"N2-2"	"N2-3"	"RB-1"	"RB-2"	"RB-3"
"cel-miR-229-5p"	407872.847237141	389437.38863639	403821.155176738	346212.359783964	361550.066158408	336634.540064603
"cel-miR-230-3p"	12897.4756108766	12221.867183803	13259.0019553609	12815.7350555418	12485.3876910342	11591.3914903568
"cel-miR-230-5p"	72880.9312644998	65101.3442616174	68451.3914595212	67934.6665396533	67019.6729224296	62083.9749311403
"cel-miR-231-3p"	1261.23948867054	1325.79162697863	1327.77205463567	1541.99754034303	1544.81273328766	1560.61939929329
"cel-miR-231-5p"	166.811940768882	182.430488774838	169.71522502862	195.492573031846	245.785828328938	208.844540118476
"cel-miR-232-3p"	4297.39333123644	4811.48219592245	4353.94426562393	5321.18814859641	5164.16433528671	5348.91389318366
"cel-miR-232-5p"	216.237700996699	249.744412440419	252.077025410156	279.275104331208	256.433589844993	250.405642629616
"cel-miR-233-3p"	7540.07624332572	7406.48273143619	7111.816672339	6809.325490247	7214.74574058698	7130.84616334877
"cel-miR-233-5p"	79.4342575089916	81.9473853320126	59.8994911865717	69.8187760828021	55.0134344996179	57.1465159528169
"cel-miR-234-3p"	1107.66659081983	1086.77841976026	1251.64978458607	1432.28232078434	1352.26571253899	1425.54581613209
"cel-miR-234-5p"	4.41301430605509	2.92669233328616	9.98324853109529	5.98446652138303	3.54925383868502	5.19513781389244
"cel-miR-235-3p"	406493.338965069	350558.232116906	361263.814594745	391244.472946285	428292.009967961	378704.766081504
"cel-miR-235-5p"	293.906752783269	329.740669550241	297.001643800085	290.246626287077	297.250008989871	238.976339439052
"cel-miR-236-3p"	233310.770743965	241614.06113855	237245.661811148	247381.887416584	256704.220450193	237078.036081856
"cel-miR-236-5p"	120.033989124698	120.969949775828	119.798982373143	156.593540642856	114.463436297592	126.761362658976
"cel-miR-237-3p"	2545.42665173257	2453.5437394049	2630.58598794361	2228.21636812828	1975.15976122822	2024.0256922925
"cel-miR-237-5p"	1373019.3758372	1293403.87405438	1355257.18574784	928977.714814071	892723.409834872	909352.766833482
"cel-miR-238-3p"	300074.381577411	313741.418128277	359012.592050983	307650.452342346	305442.574163015	299343.840836483
"cel-miR-238-5p"	1690.1844792191	1868.20527274767	1738.33315047697	1588.8758614272	1657.50154266591	1776.73713235122
"cel-miR-239a-3p"	1150.91413101917	1138.48331764832	1200.48563586421	1121.09006167242	1141.97242259691	1057.7300589085
"cel-miR-239a-5p"	7391.79896264227	6729.44123833599	5911.3310364748	7818.70551018693	8551.03981085189	7206.6951754316
"cel-miR-239b-5p"	6999.92329226458	5562.6665614659	4871.8252831745	7710.98511280204	7922.82188140464	6055.45263587303
"cel-miR-240-3p"	8086.40741441534	8704.95856330415	8687.92203418567	9069.45901315599	8338.97189399046	8886.80274444441
"cel-miR-240-5p"	74787.3534447156	69422.1177096589	67834.9258627261	69710.0582743303	66875.9281419629	69841.3547148445
"cel-miR-241-3p"	7808.38751313387	8057.18399353681	8115.13314971408	8177.77350146992	8159.73457513687	8196.8884427595
"cel-miR-241-5p"	28110.0185267097	27693.3384216648	26680.2316993522	26374.5413708219	28079.9217447566	29156.1524391272
"cel-miR-242"	17658.2354442488	18355.2387502597	18753.5323656625	19454.5032499293	19645.1199971216	19486.9619399106
"cel-miR-243-3p"	9861.3217683107	8866.90220574598	8756.55686783695	7741.90485649585	8078.98905030679	7265.91974650997
"cel-miR-243-5p"	6057.30343649121	5502.18158657799	5977.4700579933	6082.21280789896	6360.26287892356	5828.94462718732
"cel-miR-244-3p"	32.6563058648076	34.1447438883386	34.9413698588335	30.9197436938123	52.3514941206041	32.2098544461331
"cel-miR-244-5p"	153318.708226688	154666.909737174	151806.525069901	160079.492391562	159688.028710117	162009.333698673
